SIREN,Date création établissement,Code APE,Adresse,Nom société 1,Nom société 2,Nom société 3,Nom société 4,Nom société 5,Prénom contact,Nom contact,Code postal,Ville,Téléphone,Email
﻿siren,dateCreationEtablissement,activitePrincipaleRegistreMetiersEtablissement,"numeroVoieEtablissement typeVoieEtablissement libelleVoieEtablissement,  complementAdresseEtablissement",denominationUniteLegale,sigleUniteLegale,denominationUsuelleEtablissement,denominationUsuelle1UniteLegale,enseigne1Etablissement,prenom1UniteLegale,nomUniteLegale,codePostalEtablissement,libelleCommuneEtablissement,TELEPHONE,ADRESSE E-MAIL
﻿325594539,2021-10-07,1071CA,"1813 RTE DU BOURG,  ",,,BOULANGERIE LA CHAPELLOISE,,,BRUNO,DEBOURG,39140,CHAPELLE-VOLAND,,
﻿344884432,2018-10-01,1071CA,"18  LES BELBENOITS,  ",,,L'ATELIER PAIN,,,THIERRY,RAY,39150,NANCHEZ,,
﻿348512419,2014-12-15,1071CB,"39 RTE DE BELCHAMP,  ",,,NATHALIE ET PASCAL MOREAU,,LA BAGUETTE DES OURS,PASCAL,MOREAU,25700,VALENTIGNEY,,
﻿379587884,2020-11-01,,"[ND] [ND] [ND],  [ND]",[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],COUSANCE,,
﻿382278745,2020-10-01,1071CA,"4 RUE DU PRE FLATTOT,  ",,,FOURNIL DU VIEUX CHENE,,,LUC,DELUME,39700,FALLETANS,,
﻿382410488,2014-10-01,,"49 RUE DE BESANCON,  ",,,BOULANGERIE THIERRY ET CLAUDINE DUFAY,,,THIERRY,DUFAY,25220,THISE,,
﻿390936490,2019-06-11,1071CA,"35  LE BOURG DERRIERE,  ",,,,,,FREDERIC,BILLARD,39150,FORT-DU-PLASNE,,
﻿393704481,2018-11-19,1071CB,"19 RUE HAUTE,  ",,,,,,PHILIPPE,MILLET,39570,CONLIEGE,,
﻿398815605,2019-02-15,1071CA,"16 RUE RENE LAFORGE,  ",,,,BOULANGERIE PATISSERIE MANCA,,LAURENT,MANCA,21320,POUILLY-EN-AUXOIS,,
﻿401229661,2015-10-01,,"1 BD JOHN KENNEDY,  ",SARL FEVRET,,,,,,,21000,DIJON,,
﻿403052111,2016-05-23,," RUE DE DOLE,  CC BESANCON CHATEAUFARINE ZAC",BOULANGERIES PAUL,,PAUL,,PAUL,,,25000,BESANCON,,
﻿410409619,2020-01-01,1071AA,"14 IMP DES CHARBONNIERES,  FROIDEVILLE",,,CHEZ STEF,,,STEPHANE,CARRAT,39230,VINCENT-FROIDEVILLE,,
﻿411515042,2014-09-01,1071CB,"1 RUE TRISTAN BERNARD,  ",VOQUIN SARL,,,,LE MOULIN DES PAINS,,,25000,BESANCON,381612821,jacquin.nelly@neuf.fr
﻿411515042,2014-12-02,1071CB,"2 RUE CLAUDE GOUDIMEL,  MARCHE COUVERT DES BEAUX ARTS",VOQUIN SARL,,,,,,,25000,BESANCON,,
﻿422133371,2018-02-01,1071CB,"25 RUE PRINCIPALE,  ",,,,,,STEPHANE,BONNET,25500,LES FINS,,
﻿434524690,2017-02-01,1071CA,"14  GRANDE RUE,  ",MONNIN MOUREY,,,,,,,25170,EMAGNY,381632600,c-e-o@wanadoo.fr
﻿438952889,2021-01-07,1071CA,"11 RUE JOSEPH JACQUARD,  ",,,UNAL PRODUCTION,,,SELAMI,UNAL,21300,CHENOVE,,
﻿439236571,2014-12-09,,"6 RUE MONTALEMBERT,  ",LEGRAND JEROME,,,,,,,25120,MAICHE,,
﻿439236571,2016-08-22,1071CB,"1 RUE DU CLOS JEUNE,  ",LEGRAND JEROME,,,,,,,25500,MORTEAU,967764620,obradedios2000@gmail.com
﻿439236571,2020-11-16,1071CB,"19  GRANDE RUE,  ",LEGRAND JEROME,,,,BISTRO BOULANGE LA LIBERTE,,,25140,CHARQUEMONT,,
﻿441397445,2020-06-01,1071CB,"2 RUE OCTAVE JAPY,  ",,,,LA COURONNE D'OR,L' EPI DORE,TAREK,BENLFTOUH,25490,FESCHES-LE-CHATEL,,
﻿441501715,2020-07-01,1071CB,"15 GR DE BRESSE,  ",,,BOULANGERIE PATISSERIE MERCIER,BOULANGERIE PATISSERIE MERCIER,,JEAN,MERCIER,39230,CHAUMERGY,,
﻿443138292,2014-04-01,,"141 AV GUSTAVE EIFFEL,  ",CYPRES,,,,MAISON ROGER,,,21000,DIJON,,
﻿443138292,2016-04-01,,"33 RUE MONGE,  ",CYPRES,,,,MAISON ROGER,,,21000,DIJON,,
﻿443138292,2018-09-18,,"33 RUE ALFRED CHANGENET,  CENTRE COMMERCIAL COUR MARGOT",CYPRES,,,,MAISON ROGER,,,21300,CHENOVE,,
﻿443138292,2022-02-17,,"4 RTE DE BEAUNE,  ",CYPRES,,,,,,,21160,MARSANNAY-LA-COTE,,
﻿448947085,2016-05-03,,"65 RUE DEVOSGE,  ",B3P,,,,CHEZ BABETH ET FRED,,,21000,DIJON,,
﻿450561709,2017-11-01,1071CB,"297 RTE DE ST AMOUR,  ",,,LE PANIER D'ANDELOT,,,PATRICIA,BROTTES,39320,ANDELOT-MORVAL,,
﻿453904815,2016-02-08,,"14 ALL DES MYOSOTIS,  ",,,PATRICK MARTIN,,PAT PATISSERIE,PATRICK,MARTIN,21490,RUFFEY-LES-ECHIREY,,
﻿478455793,2015-09-16,,"48 RUE DE CRACOVIE,  ",BOULANGERIES BG,B B G,,,BOULANGERIE MARIE BLACHERE,,,21000,DIJON,380384481,dijon@bgmarie.com
﻿478455793,2016-10-19,," RUE DE LA LIBERATION,  ",BOULANGERIES BG,B B G,,,BOULANGERIE MARIE BLACHERE,,,25300,PONTARLIER,381396418,pontarlier.casino@marieblachere.com
